Addresses,amount_DBI,tx_list_DBI,amount_LI,tx_list_LI,amount_SI,tx_list_SI,deposited_DBI,deposited_LI,deposited_SI
0xd444d13a8b3975b17baa7ef27e6990352bf34eb5,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x8165e1e6252fef1c49d52283693f52e369ff2537,0.0,,0.0,,0.0,,9.3836,0.0,0.0
0x1184ca23b73c0a7bd497f928605a041df5d7097b,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x5eede1c45e4401d7d95e55446dad71b511328534,0.0,,0.0,,0.0,,0.0,0.0,20.0
0xfb38c0f38c9c5a473b06a2fe421adc1807ff2512,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x8ce82e8a82125dc9ca3992b643716d16058e2aac,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x061e8d67fb2cdbc5e78b30bbf15c8c192b7b65f8,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x3672ceb80f7b77c5cf5f0d8e4d8d253b885db65d,0.0,,0.0,,0.0,,0.8767,0.0,0.0
0xb52b3eeacec1824be2e0c9f5fa2d0ea76e49a88e,0.0,,0.0,,825.6982741223812,0xf1b1bbfcfe3a4df44bae44259ae9187ea27a3a8e8df25d6c553cb23b36e3252f,1.1652039311,0.0,59.246764165900004
0x0783abc1e6f1eb93b80024a056492e314d949986,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x4d9849e2af778eca3d6bb91f314769c48e03ef01,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x9ee621aa4432316f50758a95dbec69753bc525bb,0.0,,0.0,,0.0,,2.9106458352999995,2.0547,348.2665295687
0x11dd3e98df0add21c9ba2b854e5de02482f3280c,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x8b5e726fbf15b65477e5123a6e542f720a46f06d,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xa36f44df43bf14343d7236249af722b5519df802,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x9e331aee9f82b25078f7bb1581ffa8383ad84944,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x25002e4452f0de24ef5ce6dabaaace1ef2b6f6c2,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xb64d01af63ea7fea5276854f8f927cc800a428b8,0.0,,0.0,,0.0,,0.0,0.0,0.1428986218
0xe05ec1ed7f5d50a190de033f597f1dc74159093e,0.0,,0.0,,0.0,,0.0035,0.0,19.7794696289
0x3e8544ad14a2d7863f2972d8bff28823c812cc56,0.0,,0.0,,0.0,,0.0,0.0,0.0008332748
0x95811c8511aa70012d050bdd9962377e22da9eda,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xbcc181046fd96ccadf0cebe30d4ff67d4373a126,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x87ee8ee8ed35347535923f58ac0378a208d04773,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x962ea31e2360b5e3f1c60fcdd4e4ad020d4e4bb8,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x951be08d4c785539f136a9577628e6054950b3fd,0.0,,0.0,,0.0,,3.7611508192,0.0,0.0
0xef0e5e1aa424bca28c41a1e058676e85c6407104,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xa6d409c9e1e85e5997ed675d00e91bbbfd1a7a14,0.0,,0.0,,0.0,,1.3141,0.0,1003.4988755287
0x90d1b8347627989a93847f1bd34e3c740f359c5c,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x699616073aae548be02a1840835ea77ccd6333a5,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xba364152cb2501c1774ea5e7b232084373014a1c,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xdb8bb9abbdacfd79ac19970ca5054ac1610993cc,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xe8fa626c348cc337c65ecd9e8865f3696edda4a2,0.0,,0.0,0x5ae58e73c5a799517a13e8ca8b433aee207c7d42421c1b090ba94ad1849ba3ab,0.0,,0.0,0.0,0.0
0xdfd08ff771fc29ddfdefa975263ea4d830bf544e,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xd75eace6d08d6e1e100e449c0add3a546c3f3c23,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x4eb6ce3ee2ecea32118592db89e661193710fe30,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xcaa7c47e4684af466293e10aec58eaf4e7b195b4,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x162a9695e3453cbba0173639143b2a1241d05f16,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x1776dfa72c79eddb78fc522649661cdf46f0eb0e,0.0,,0.0,,0.0,,1134.7432718787,127.46453391579999,79629.9428436897
